/* DATA DESCRIPTION:
Citation:	Armand, Leanne K; Crosta, Xavier; Romero, Oscar E; Pichon, Jean-Jacques (2005): Relative abundance of diatom species in surface samples from the Southern Ocean, Sea ice species [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.425284, 
	Supplement to: Armand, LK et al. (2005): The biogeography of major diatom taxa in Southern Ocean sediments: 1. Ice related species. Palaeogeography, Palaeoclimatology, Palaeoecology, 223(1-2), 93-126, https://doi.org/10.1016/j.palaeo.2005.02.015
Abstract:	Diatoms from 228 Southern Ocean core-top sediment samples were examined to determine the geographic distributions of 32 major diatom species/taxa preserved in the sediments of three zonally-distinct regions; Sea Ice, Open Ocean and the Tropical/Subtropical. In the first of three papers, 14 species/taxa occurring in the region where sea ice covers the ocean surface on an annual basis are geographically documented. Comparisons are drawn between the diatom abundances on the sea floor, sea ice parameters (annual duration and concentration in February and September) and February sea-surface temperature. Such parameters are commonly used in reconstructing past oceanographic conditions in the Sea Ice and Open Ocean zones. Analysis of the geographic patterns and sea-surface parameter correlations reveals species-specific distributions regulated primarily by sea ice coverage and sea-surface temperature, which support the use of diatom remains for the estimation of these past sea-surface environmental parameters. Comparison with reliable accounts of the 14 species from the sediments or plankton also provides the first glimpses into species-specific ecology and habitat linkages.
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: https://www.marum.de/en/)
Coverage:	MEDIAN LATITUDE: -38.664575 * MEDIAN LONGITUDE: -22.036029 * SOUTH-BOUND LATITUDE: -44.516800 * WEST-BOUND LONGITUDE: -24.248500 * NORTH-BOUND LATITUDE: -31.950000 * EAST-BOUND LONGITUDE: -17.340000
	DATE/TIME START: 2000-02-17T05:54:00 * DATE/TIME END: 2000-03-04T02:21:00
	MINIMUM DEPTH, sediment/rock: 0 m * MAXIMUM DEPTH, sediment/rock: 0 m
Event(s):	GeoB6402-9 * LATITUDE: -39.742700 * LONGITUDE: -22.756500 * DATE/TIME: 2000-02-17T05:54:00 * ELEVATION: -3878.0 m * Recovery: 0.43 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: 3 x bottom contact
	GeoB6403-4 * LATITUDE: -40.013300 * LONGITUDE: -23.365200 * DATE/TIME: 2000-02-17T20:49:00 * ELEVATION: -4226.0 m * Recovery: 0.14 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: 4 large, 4 small tubes filled
	GeoB6404-3 * LATITUDE: -41.505800 * LONGITUDE: -23.464800 * DATE/TIME: 2000-02-18T10:17:00 * ELEVATION: -4223.0 m * Recovery: 0.11 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: 4 large, 4 small tubes filled, CTD at 50 m
	GeoB6405-8 * LATITUDE: -42.000000 * LONGITUDE: -21.853200 * DATE/TIME: 2000-02-19T07:20:00 * ELEVATION: -3863.0 m * Recovery: 0.3 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: all tubes filled, IRD/dropstones
	GeoB6406-1 * LATITUDE: -42.000300 * LONGITUDE: -20.784000 * DATE/TIME: 2000-02-19T14:02:00 * ELEVATION: -3514.0 m * Recovery: 0.2 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: all tubes filled, CTD at 50 m
	GeoB6407-2 * LATITUDE: -42.044800 * LONGITUDE: -19.500000 * DATE/TIME: 2000-02-20T03:17:00 * ELEVATION: -3384.0 m * Recovery: 0.13 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: all tubes filled, one small & one large tube partly washed out, CTD at 50 m
	GeoB6408-3 * LATITUDE: -43.614200 * LONGITUDE: -20.441000 * DATE/TIME: 2000-02-20T23:00:00 * ELEVATION: -3797.0 m * Recovery: 0.34 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics
	GeoB6409-3 * LATITUDE: -44.507000 * LONGITUDE: -21.716800 * DATE/TIME: 2000-02-21T20:01:00 * ELEVATION: -4296.0 m * Recovery: 0.41 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: dropstones !
	GeoB6410-1 * LATITUDE: -44.516800 * LONGITUDE: -20.900000 * DATE/TIME: 2000-02-22T04:27:00 * ELEVATION: -4038.0 m * Recovery: 0.13 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: 4 large, 4 small tubes filled, CTD at 50 m
	GeoB6411-4 * LATITUDE: -44.363300 * LONGITUDE: -18.352000 * DATE/TIME: 2000-02-23T04:02:00 * ELEVATION: -3893.0 m * Recovery: 0.39 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics
	GeoB6413-4 * LATITUDE: -44.206800 * LONGITUDE: -17.340000 * DATE/TIME: 2000-02-23T19:37:00 * ELEVATION: -3768.0 m * Recovery: 0.37 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics, CTD at 50 m
	GeoB6417-2 * LATITUDE: -39.093300 * LONGITUDE: -21.041700 * DATE/TIME: 2000-02-27T16:30:00 * ELEVATION: -4024.0 m * Recovery: 0.27 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics
	GeoB6418-3 * LATITUDE: -38.426500 * LONGITUDE: -21.535000 * DATE/TIME: 2000-02-28T08:01:00 * ELEVATION: -4126.0 m * Recovery: 0.43 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics
	GeoB6419-1 * LATITUDE: -37.774000 * LONGITUDE: -21.864200 * DATE/TIME: 2000-02-28T16:56:00 * ELEVATION: -3568.0 m * Recovery: 0.36 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: CTD did not register
	GeoB6420-2 * LATITUDE: -37.158300 * LONGITUDE: -22.148300 * DATE/TIME: 2000-02-29T05:35:00 * ELEVATION: -3998.0 m * Recovery: 0.37 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics, CTD at 50 m
	GeoB6421-1 * LATITUDE: -36.448300 * LONGITUDE: -22.445000 * DATE/TIME: 2000-02-29T13:46:00 * ELEVATION: -4216.0 m * Recovery: 0.4 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics, CTD at 50 m
	GeoB6422-5 * LATITUDE: -35.707300 * LONGITUDE: -22.733300 * DATE/TIME: 2000-03-01T03:24:00 * ELEVATION: -3972.0 m * Recovery: 0.33 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics, CTD at 50 m
	GeoB6423-1 * LATITUDE: -35.252500 * LONGITUDE: -22.991700 * DATE/TIME: 2000-03-01T09:32:00 * ELEVATION: -3963.0 m * Recovery: 0.4 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics
	GeoB6424-2 * LATITUDE: -34.608200 * LONGITUDE: -23.275800 * DATE/TIME: 2000-03-01T21:22:00 * ELEVATION: -3820.0 m * Recovery: 0.4 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics, CTD at 50 m
	GeoB6425-1 * LATITUDE: -33.825000 * LONGITUDE: -23.587500 * DATE/TIME: 2000-03-02T03:26:00 * ELEVATION: -4352.0 m * Recovery: 0.4 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics
	GeoB6426-1 * LATITUDE: -33.499200 * LONGITUDE: -24.024200 * DATE/TIME: 2000-03-02T15:41:00 * ELEVATION: -4385.0 m * Recovery: 13.41 m * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: geology and geophysics
	GeoB6427-1 * LATITUDE: -33.182200 * LONGITUDE: -24.247700 * DATE/TIME: 2000-03-03T01:10:00 * ELEVATION: -4491.0 m * Recovery: 0.36 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: all tubes filled, CTD at 50 m
	GeoB6428-2 * LATITUDE: -32.510000 * LONGITUDE: -24.248500 * DATE/TIME: 2000-03-03T17:07:00 * ELEVATION: -4015.0 m * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: all tubes washed out, CTD at 50 m
